room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13555596,9974234,Entire home/apt,,South Boston,0,,2,1.0,140.0,1.0,42.335989,-71.027332,2016-07-16 23:12:50.690911
3303497,16684348,Entire home/apt,,Fenway,12,4.5,5,2.0,200.0,2.0,42.342872,-71.087323,2016-07-16 23:12:48.267944
5086521,1868179,Entire home/apt,,Fenway,25,5.0,3,0.0,142.0,3.0,42.34232,-71.089636,2016-07-16 23:12:43.772454
13013196,10389396,Private room,,Roxbury,6,3.0,2,1.0,72.0,1.0,42.335706,-71.082921,2016-07-16 23:12:40.893584
4177233,21674032,Private room,,Dorchester,53,4.5,2,1.0,74.0,2.0,42.316638,-71.057729,2016-07-16 23:12:32.835131
12628940,68572323,Entire home/apt,,Allston,0,,4,2.0,189.0,2.0,42.36271,-71.132129,2016-07-16 23:12:01.101166
13074722,3552368,Entire home/apt,,North End,3,5.0,2,1.0,150.0,3.0,42.365065,-71.057007,2016-07-16 23:11:58.061137
6337106,22264304,Private room,,East Boston,157,4.5,2,1.0,105.0,1.0,42.368436,-71.034373,2016-07-16 23:11:50.168734
8011545,42300377,Private room,,North End,35,5.0,1,1.0,79.0,1.0,42.365391,-71.054912,2016-07-16 23:11:18.276030
13656292,12243051,Entire home/apt,,Allston,0,,6,3.0,229.0,3.0,42.349305,-71.129903,2016-07-16 23:11:13.471844
12176428,47915391,Entire home/apt,,South Boston,3,5.0,2,1.0,199.0,2.0,42.336794,-71.037171,2016-07-16 23:11:08.315191
12870514,18202088,Entire home/apt,,Fenway,5,4.5,3,1.0,238.0,2.0,42.345825,-71.103783,2016-07-16 23:10:49.473565
13642655,31611419,Private room,,Allston,0,,1,1.0,30.0,23.0,42.348151,-71.137417,2016-07-16 23:10:44.066134
12071820,64682226,Shared room,,Jamaica Plain,3,4.5,2,1.0,60.0,1.0,42.305263,-71.112087,2016-07-16 23:10:37.991495
6544715,33986390,Entire home/apt,,South Boston,9,4.5,10,5.0,700.0,4.0,42.336763,-71.045216,2016-07-16 23:10:19.630768
5959740,27858335,Private room,,Brighton,1,,2,1.0,75.0,5.0,42.342033,-71.147267,2016-07-16 23:10:17.410885
3415434,16442921,Private room,,Dorchester,8,4.0,1,1.0,63.0,4.0,42.319475,-71.05261,2016-07-16 23:10:13.819161
12414737,37000074,Private room,,Brighton,0,,2,1.0,140.0,1.0,42.360828,-71.140927,2016-07-16 23:10:10.236374
6894734,36128699,Private room,,Fenway,0,,1,1.0,60.0,1.0,42.341188,-71.089271,2016-07-16 23:09:41.276992
6142396,31862615,Shared room,,East Boston,98,5.0,1,1.0,58.0,1.0,42.368746,-71.034673,2016-07-16 23:09:34.156579
13185237,20857768,Entire home/apt,,Beacon Hill,0,,2,0.0,235.0,4.0,42.357702,-71.0717,2016-07-16 23:09:31.484839
8634599,45402419,Entire home/apt,,Jamaica Plain,13,4.0,2,1.0,179.0,2.0,42.309053,-71.111434,2016-07-16 23:09:11.311188
2682662,1444340,Entire home/apt,,Beacon Hill,26,4.5,2,0.0,200.0,2.0,42.357197,-71.069456,2016-07-16 23:09:00.838031
8828147,3958442,Shared room,,South Boston,1,,1,1.0,159.0,1.0,42.339968,-71.055637,2016-07-16 23:08:45.141177
13189215,73808093,Entire home/apt,,Dorchester,5,4.0,4,1.0,160.0,1.0,42.318164,-71.03965,2016-07-16 23:08:18.682423
250983,8021,Entire home/apt,,Jamaica Plain,13,5.0,5,2.0,350.0,1.0,42.322538,-71.109976,2016-07-16 23:08:07.470556
3250847,886871,Private room,,Dorchester,4,4.0,1,1.0,70.0,2.0,42.318617,-71.053832,2016-07-16 23:08:03.695260
13995573,6103953,Entire home/apt,,South End,0,,8,3.0,525.0,2.0,42.345656,-71.063585,2016-07-16 23:07:48.476145
12990153,71568696,Entire home/apt,,Fenway,1,,3,0.0,158.0,1.0,42.343371,-71.099704,2016-07-16 23:06:57.126105
8442314,1551509,Private room,,Mission Hill,16,4.5,2,1.0,89.0,1.0,42.33072,-71.103961,2016-07-16 23:06:55.180869
